Code	Description
F196	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Amnesic syndrome"
F197	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Residual and late-onset psychotic disorder"
F198	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Other mental and behavioural disorders"
F199	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Unspecified mental and behavioural disorder"
F20	"Schizophrenia"
F200	"Paranoid schizophrenia"
F201	"Hebephrenic schizophrenia"
F202	"Catatonic schizophrenia"
F203	"Undifferentiated schizophrenia"
F204	"Post-schizophrenic depression"
F205	"Residual schizophrenia"
F206	"Simple schizophrenia"
F208	"Other schizophrenia"
F209	"Schizophrenia	 unspecified"
F21	"Schizotypal disorder"
F22	"Persistent delusional disorders"
F220	"Delusional disorder"
F228	"Other persistent delusional disorders"
F229	"Persistent delusional disorder	 unspecified"
F23	"Acute and transient psychotic disorders"
F230	"Acute polymorphic psychotic disorder without symptoms of schizophrenia"
F231	"Acute polymorphic psychotic disorder with symptoms of schizophrenia"
F232	"Acute schizophrenia-like psychotic disorder"
F233	"Other acute predominantly delusional psychotic disorders"
F238	"Other acute and transient psychotic disorders"
F239	"Acute and transient psychotic disorder	 unspecified"
F24	"Induced delusional disorder"
F25	"Schizoaffective disorders"
F250	"Schizoaffective disorder	 manic type"
F251	"Schizoaffective disorder	 depressive type"
F252	"Schizoaffective disorder	 mixed type"
F258	"Other schizoaffective disorders"
F259	"Schizoaffective disorder	 unspecified"
F28	"Other nonorganic psychotic disorders"
F29	"Unspecified nonorganic psychosis"
F30	"Manic episode"
F300	"Hypomania"
F301	"Mania without psychotic symptoms"
F302	"Mania with psychotic symptoms"
F308	"Other manic episodes"
F309	"Manic episode	 unspecified"
F31	"Bipolar affective disorder"
F310	"Bipolar affective disorder	 current episode hypomanic"
F311	"Bipolar affective disorder	 current episode manic without psychotic symptoms"
F312	"Bipolar affective disorder	 current episode manic with psychotic symptoms"
F313	"Bipolar affective disorder	 current episode mild or moderate depression"
F314	"Bipolar affective disorder	 current episode severe depression without psychotic symptoms"
F315	"Bipolar affective disorder	 current episode severe depression with psychotic symptoms"
F316	"Bipolar affective disorder	 current episode mixed"
F317	"Bipolar affective disorder	 currently in remission"
F318	"Other bipolar affective disorders"
F319	"Bipolar affective disorder	 unspecified"
F32	"Depressive episode"
F320	"Mild depressive episode"
F321	"Moderate depressive episode"
F322	"Severe depressive episode without psychotic symptoms"
F323	"Severe depressive episode with psychotic symptoms"
F328	"Other depressive episodes"
F329	"Depressive episode	 unspecified"
F33	"Recurrent depressive disorder"
F330	"Recurrent depressive disorder	 current episode mild"
F331	"Recurrent depressive disorder	 current episode moderate"
F332	"Recurrent depressive disorder	 current episode severe without psychotic symptoms"
F333	"Recurrent depressive disorder	 current episode severe with psychotic symptoms"
F334	"Recurrent depressive disorder	 currently in remission"
F338	"Other recurrent depressive disorders"
F339	"Recurrent depressive disorder	 unspecified"
F34	"Persistent mood [affective] disorders"
F340	"Cyclothymia"
F341	"Dysthymia"
F348	"Other persistent mood [affective] disorders"
F349	"Persistent mood [affective] disorder	 unspecified"
F38	"Other mood [affective] disorders"
F380	"Other single mood [affective] disorders"
F381	"Other recurrent mood [affective] disorders"
F388	"Other specified mood [affective] disorders"
F39	"Unspecified mood [affective] disorder"
F40	"Phobic anxiety disorders"
F400	"Agoraphobia"
F401	"Social phobias"
F402	"Specific (isolated) phobias"
F408	"Other phobic anxiety disorders"
F409	"Phobic anxiety disorder	 unspecified"
F41	"Other anxiety disorders"
F410	"Panic disorder [episodic paroxysmal anxiety]"
F411	"Generalized anxiety disorder"
F412	"Mixed anxiety and depressive disorder"
F413	"Other mixed anxiety disorders"
F418	"Other specified anxiety disorders"
F419	"Anxiety disorder	 unspecified"
F42	"Obsessive-compulsive disorder"
F420	"Predominantly obsessional thoughts or ruminations"
F421	"Predominantly compulsive acts [obsessional rituals]"
F422	"Mixed obsessional thoughts and acts"
F428	"Other obsessive-compulsive disorders"
F429	"Obsessive-compulsive disorder	 unspecified"
F43	"Reaction to severe stress	 and adjustment disorders"
F430	"Acute stress reaction"
F431	"Post-traumatic stress disorder"
F432	"Adjustment disorders"
F438	"Other reactions to severe stress"
F439	"Reaction to severe stress	 unspecified"
F44	"Dissociative [conversion] disorders"
F440	"Dissociative amnesia"
F441	"Dissociative fugue"
F442	"Dissociative stupor"
F443	"Trance and possession disorders"
F444	"Dissociative motor disorders"
F445	"Dissociative convulsions"
F446	"Dissociative anaesthesia and sensory loss"
F447	"Mixed dissociative [conversion] disorders"
F448	"Other dissociative [conversion] disorders"
F449	"Dissociative [conversion] disorder	 unspecified"
F45	"Somatoform disorders"
F450	"Somatization disorder"
F451	"Undifferentiated somatoform disorder"
F452	"Hypochondriacal disorder"
F453	"Somatoform autonomic dysfunction"
F454	"Persistent somatoform pain disorder"
F458	"Other somatoform disorders"
F459	"Somatoform disorder	 unspecified"
F48	"Other neurotic disorders"
F480	"Neurasthenia"
F481	"Depersonalization-derealization syndrome"
F488	"Other specified neurotic disorders"
F489	"Neurotic disorder	 unspecified"
F50	"Eating disorders"
F500	"Anorexia nervosa"
F501	"Atypical anorexia nervosa"
F502	"Bulimia nervosa"
F503	"Atypical bulimia nervosa"
F504	"Overeating associated with other psychological disturbances"
F505	"Vomiting associated with other psychological disturbances"
F508	"Other eating disorders"
F509	"Eating disorder	 unspecified"
F51	"Nonorganic sleep disorders"
F510	"Nonorganic insomnia"
F511	"Nonorganic hypersomnia"
F512	"Nonorganic disorder of the sleep-wake schedule"
F513	"Sleepwalking [somnambulism]"
F514	"Sleep terrors [night terrors]"
F515	"Nightmares"
F518	"Other nonorganic sleep disorders"
F519	"Nonorganic sleep disorder	 unspecified"
F52	"Sexual dysfunction	 not caused by organic disorder or disease"
F520	"Lack or loss of sexual desire"
F521	"Sexual aversion and lack of sexual enjoyment"
F522	"Failure of genital response"
F523	"Orgasmic dysfunction"
F524	"Premature ejaculation"
F525	"Nonorganic vaginismus"
F526	"Nonorganic dyspareunia"
F527	"Excessive sexual drive"
F528	"Other sexual dysfunction	 not caused by organic disorder or disease"
F529	"Unspecified sexual dysfunction	 not caused by organic disorder or disease"
F53	"Mental and behavioural disorders associated with the puerperium	 not elsewhere classified"
F530	"Mild mental and behavioural disorders associated with the puerperium	 not elsewhere classified"
F531	"Severe mental and behavioural disorders associated with the puerperium	 not elsewhere classified"
F538	"Other mental and behavioural disorders associated with the puerperium	 not elsewhere classified"
F539	"Puerperal mental disorder	 unspecified"
F54	"Psychological and behavioural factors associated with disorders or diseases classified elsewhere"
F55	"Abuse of non-dependence-producing substances"
F59	"Unspecified behavioural syndromes associated with physiological disturbances and physical factors"
F60	"Specific personality disorders"
F600	"Paranoid personality disorder"
F601	"Schizoid personality disorder"
F602	"Dissocial personality disorder"
F603	"Emotionally unstable personality disorder"
F604	"Histrionic personality disorder"
F605	"Anankastic personality disorder"
F606	"Anxious [avoidant] personality disorder"
F607	"Dependent personality disorder"
F608	"Other specific personality disorders"
F609	"Personality disorder	 unspecified"
F61	"Mixed and other personality disorders"
F62	"Enduring personality changes	 not attributable to brain damage and disease"
F620	"Enduring personality change after catastrophic experience"
F621	"Enduring personality change after psychiatric illness"
F628	"Other enduring personality changes"
F629	"Enduring personality change	 unspecified"
F63	"Habit and impulse disorders"
F630	"Pathological gambling"
F631	"Pathological fire-setting [pyromania]"
F632	"Pathological stealing [kleptomania]"
F633	"Trichotillomania"
F638	"Other habit and impulse disorders"
F639	"Habit and impulse disorder	 unspecified"
F64	"Gender identity disorders"
F640	"Transsexualism"
F641	"Dual-role transvestism"
F642	"Gender identity disorder of childhood"
F648	"Other gender identity disorders"
F649	"Gender identity disorder	 unspecified"
F65	"Disorders of sexual preference"
F650	"Fetishism"
F651	"Fetishistic transvestism"
F652	"Exhibitionism"
F653	"Voyeurism"
F654	"Paedophilia"
F655	"Sadomasochism"
F656	"Multiple disorders of sexual preference"
F658	"Other disorders of sexual preference"
F659	"Disorder of sexual preference	 unspecified"
F66	"Psychological and behavioural disorders associated with sexual development and orientation"
F660	"Sexual maturation disorder"
F661	"Egodystonic sexual orientation"
F662	"Sexual relationship disorder"
F668	"Other psychosexual development disorders"
F669	"Psychosexual development disorder	 unspecified"
F68	"Other disorders of adult personality and behaviour"
F680	"Elaboration of physical symptoms for psychological reasons"
F681	"Intentional production or feigning of symptoms or disabilities	 either physical or psychological [factitious disorder]"
F688	"Other specified disorders of adult personality and behaviour"
F69	"Unspecified disorder of adult personality and behaviour"
F70	"Mild mental retardation"
F700	"Mild mental retardation: With the statement of no	 or minimal	 impairment of behaviour"
F701	"Mild mental retardation: Significant impairment of behaviour requiring attention or treatment"
F708	"Mild mental retardation: Other impairments of behaviour"
F709	"Mild mental retardation: Without mention of impairment of behaviour"
F71	"Moderate mental retardation"
F710	"Moderate mental retardation: With the statement of no	 or minimal	 impairment of behaviour"
F711	"Moderate mental retardation: Significant impairment of behaviour requiring attention or treatment"
F718	"Moderate mental retardation: Other impairments of behaviour"
F719	"Moderate mental retardation: Without mention of impairment of behaviour"
F72	"Severe mental retardation"
F720	"Severe mental retardation: With the statement of no	 or minimal	 impairment of behaviour"
F721	"Severe mental retardation: Significant impairment of behaviour requiring attention or treatment"
F728	"Severe mental retardation: Other impairments of behaviour"
F729	"Severe mental retardation: Without mention of impairment of behaviour"
F73	"Profound mental retardation"
F730	"Profound mental retardation: With the statement of no	 or minimal	 impairment of behaviour"
F731	"Profound mental retardation: Significant impairment of behaviour requiring attention or treatment"
F738	"Profound mental retardation: Other impairments of behaviour"
F739	"Profound mental retardation: Without mention of impairment of behaviour"
F78	"Other mental retardation"
F780	"Other mental retardation: With the statement of no	 or minimal	 impairment of behaviour"
F781	"Other mental retardation: Significant impairment of behaviour requiring attention or treatment"
F788	"Other mental retardation: Other impairments of behaviour"
F789	"Other mental retardation: Without mention of impairment of behaviour"
F79	"Unspecified mental retardation"
F790	"Unspecified mental retardation: With the statement of no	 or minimal	 impairment of behaviour"
F791	"Unspecified mental retardation: Significant impairment of behaviour requiring attention or treatment"
F798	"Unspecified mental retardation: Other impairments of behaviour"
F799	"Unspecified mental retardation: Without mention of impairment of behaviour"
F80	"Specific developmental disorders of speech and language"
F800	"Specific speech articulation disorder"
F801	"Expressive language disorder"
F802	"Receptive language disorder"
F803	"Acquired aphasia with epilepsy [Landau-Kleffner]"
F808	"Other developmental disorders of speech and language"
F809	"Developmental disorder of speech and language	 unspecified"
F81	"Specific developmental disorders of scholastic skills"
F810	"Specific reading disorder"
F811	"Specific spelling disorder"
F812	"Specific disorder of arithmetical skills"
F813	"Mixed disorder of scholastic skills"
F818	"Other developmental disorders of scholastic skills"
F819	"Developmental disorder of scholastic skills	 unspecified"
F82	"Specific developmental disorder of motor function"
F83	"Mixed specific developmental disorders"
F84	"Pervasive developmental disorders"
F840	"Childhood autism"
F841	"Atypical autism"
F842	"Rett syndrome"
F843	"Other childhood disintegrative disorder"
F844	"Overactive disorder associated with mental retardation and stereotyped movements"
F845	"Asperger syndrome"
F848	"Other pervasive developmental disorders"
F849	"Pervasive developmental disorder	 unspecified"
F88	"Other disorders of psychological development"
F89	"Unspecified disorder of psychological development"
F90	"Hyperkinetic disorders"
F900	"Disturbance of activity and attention"
F901	"Hyperkinetic conduct disorder"
F908	"Other hyperkinetic disorders"
F909	"Hyperkinetic disorder	 unspecified"
F91	"Conduct disorders"
F910	"Conduct disorder confined to the family context"
F911	"Unsocialized conduct disorder"
F912	"Socialized conduct disorder"
F913	"Oppositional defiant disorder"
F918	"Other conduct disorders"
F919	"Conduct disorder	 unspecified"
F92	"Mixed disorders of conduct and emotions"
F920	"Depressive conduct disorder"
F928	"Other mixed disorders of conduct and emotions"
F929	"Mixed disorder of conduct and emotions	 unspecified"
F93	"Emotional disorders with onset specific to childhood"
F930	"Separation anxiety disorder of childhood"
F931	"Phobic anxiety disorder of childhood"
F932	"Social anxiety disorder of childhood"
F933	"Sibling rivalry disorder"
F938	"Other childhood emotional disorders"
F939	"Childhood emotional disorder	 unspecified"
F94	"Disorders of social functioning with onset specific to childhood and adolescence"
F940	"Elective mutism"
F941	"Reactive attachment disorder of childhood"
F942	"Disinhibited attachment disorder of childhood"
F948	"Other childhood disorders of social functioning"
F949	"Childhood disorder of social functioning	 unspecified"
F95	"Tic disorders"
F950	"Transient tic disorder"
F951	"Chronic motor or vocal tic disorder"
F952	"Combined vocal and multiple motor tic disorder [de la Tourette]"
F958	"Other tic disorders"
F959	"Tic disorder	 unspecified"
F98	"Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence"
F980	"Nonorganic enuresis"
F981	"Nonorganic encopresis"
F982	"Feeding disorder of infancy and childhood"
F983	"Pica of infancy and childhood"
F984	"Stereotyped movement disorders"
F985	"Stuttering [stammering]"
F986	"Cluttering"
F988	"Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence"
F989	"Unspecified behavioural and emotional disorders with onset usually occurring in childhood and adolescence"
F99	"Mental disorder	 not otherwise specified"
G00	"Bacterial meningitis	 not elsewhere classified"
G000	"Haemophilus meningitis"
G001	"Pneumococcal meningitis"
G002	"Streptococcal meningitis"
G003	"Staphylococcal meningitis"
G008	"Other bacterial meningitis"
G009	"Bacterial meningitis	 unspecified"
G01	"Meningitis in bacterial diseases classified elsewhere"
G02	"Meningitis in other infectious and parasitic diseases classified elsewhere"
G020	"Meningitis in viral diseases classified elsewhere"
G021	"Meningitis in mycoses"
G028	"Meningitis in other specified infectious and parasitic diseases classified elsewhere"
G03	"Meningitis due to other and unspecified causes"
G030	"Nonpyogenic meningitis"
G031	"Chronic meningitis"
G032	"Benign recurrent meningitis [Mollaret]"
G038	"Meningitis due to other specified causes"
G039	"Meningitis	 unspecified"
G04	"Encephalitis	 myelitis and encephalomyelitis"
G040	"Acute disseminated encephalitis"
G041	"Tropical spastic paraplegia"
G042	"Bacterial meningoencephalitis and meningomyelitis	 not elsewhere classified"
G048	"Other encephalitis	 myelitis and encephalomyelitis"
G049	"Encephalitis	 myelitis and encephalomyelitis	 unspecified"
G05	"Encephalitis	 myelitis and encephalomyelitis in diseases classified elsewhere"
G050	"Encephalitis	 myelitis and encephalomyelitis in bacterial diseases classified elsewhere"
G051	"Encephalitis	 myelitis and encephalomyelitis in viral diseases classified elsewhere"
G052	"Encephalitis	 myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere"
G058	"Encephalitis	 myelitis and encephalomyelitis in other diseases classified elsewhere"
G06	"Intracranial and intraspinal abscess and granuloma"
G060	"Intracranial abscess and granuloma"
G061	"Intraspinal abscess and granuloma"
G062	"Extradural and subdural abscess	 unspecified"
G07	"Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere"
G08	"Intracranial and intraspinal phlebitis and thrombophlebitis"
G09	"Sequelae of inflammatory diseases of central nervous system"
G10	"Huntington disease"
G11	"Hereditary ataxia"
G110	"Congenital nonprogressive ataxia"
G111	"Early-onset cerebellar ataxia"
G112	"Late-onset cerebellar ataxia"
G113	"Cerebellar ataxia with defective DNA repair"
G114	"Hereditary spastic paraplegia"
G118	"Other hereditary ataxias"
G119	"Hereditary ataxia	 unspecified"
G12	"Spinal muscular atrophy and related syndromes"
G120	"Infantile spinal muscular atrophy	 type I [Werdnig-Hoffman]"
G121	"Other inherited spinal muscular atrophy"
G122	"Motor neuron disease"
G128	"Other spinal muscular atrophies and related syndromes"
G129	"Spinal muscular atrophy	 unspecified"
G13	"Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere"
G130	"Paraneoplastic neuromyopathy and neuropathy"
G131	"Other systemic atrophy primarily affecting central nervous system in neoplastic disease"
G132	"Systemic atrophy primarily affecting central nervous system in myxoedema"
G138	"Systemic atrophy primarily affecting central nervous system in other diseases classified elsewhere"
G14	"Postpolio syndrome"
G20	"Parkinson disease"
G21	"Secondary parkinsonism"
G210	"Malignant neuroleptic syndrome"
G211	"Other drug-induced secondary parkinsonism"
G212	"Secondary parkinsonism due to other external agents"
G213	"Postencephalitic parkinsonism"
G214	"Vascular parkinsonism"
G218	"Other secondary parkinsonism"
G219	"Secondary parkinsonism	 unspecified"
G22	"Parkinsonism in diseases classified elsewhere"
G23	"Other degenerative diseases of basal ganglia"
G230	"Hallervorden-Spatz disease"
G231	"Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]"
G232	"Striatonigral degeneration"
G238	"Other specified degenerative diseases of basal ganglia"
G239	"Degenerative disease of basal ganglia	 unspecified"
G24	"Dystonia"
G240	"Drug-induced dystonia"
G241	"Idiopathic familial dystonia"
G242	"Idiopathic nonfamilial dystonia"
G243	"Spasmodic torticollis"
G244	"Idiopathic orofacial dystonia"
G245	"Blepharospasm"
G248	"Other dystonia"
G249	"Dystonia	 unspecified"
G25	"Other extrapyramidal and movement disorders"
G250	"Essential tremor"
G251	"Drug-induced tremor"
G252	"Other specified forms of tremor"
G253	"Myoclonus"
G254	"Drug-induced chorea"
G255	"Other chorea"
G256	"Drug-induced tics and other tics of organic origin"
G258	"Other specified extrapyramidal and movement disorders"
G259	"Extrapyramidal and movement disorder	 unspecified"
G26	"Extrapyramidal and movement disorders in diseases classified elsewhere"
G30	"Alzheimer disease"
G300	"Alzheimer disease with early onset"
G301	"Alzheimer disease with late onset"
G308	"Other Alzheimer disease"
G309	"Alzheimer disease	 unspecified"
G31	"Other degenerative diseases of nervous system	 not elsewhere classified"
G310	"Circumscribed brain atrophy"
G311	"Senile degeneration of brain	 not elsewhere classified"
G312	"Degeneration of nervous system due to alcohol"
G318	"Other specified degenerative diseases of nervous system"
G319	"Degenerative disease of nervous system	 unspecified"
G32	"Other degenerative disorders of nervous system in diseases classified elsewhere"
G320	"Subacute combined degeneration of spinal cord in diseases classified elsewhere"
G328	"Other specified degenerative disorders of nervous system in diseases classified elsewhere"
G35	"Multiple sclerosis"
G36	"Other acute disseminated demyelination"
G360	"Neuromyelitis optica [Devic]"
G361	"Acute and subacute haemorrhagic leukoencephalitis [Hurst]"
G368	"Other specified acute disseminated demyelination"
G369	"Acute disseminated demyelination	 unspecified"
G37	"Other demyelinating diseases of central nervous system"
G370	"Diffuse sclerosis"
G371	"Central demyelination of corpus callosum"
G372	"Central pontine myelinolysis"
G373	"Acute transverse myelitis in demyelinating disease of central nervous system"
G374	"Subacute necrotizing myelitis"
G375	"Concentric sclerosis [Bal�]"
G378	"Other specified demyelinating diseases of central nervous system"
G379	"Demyelinating disease of central nervous system	 unspecified"
G40	"Epilepsy"
G400	"Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset"
G401	"Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures"
G402	"Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures"
G403	"Generalized idiopathic epilepsy and epileptic syndromes"
G404	"Other generalized epilepsy and epileptic syndromes"
G405	"Special epileptic syndromes"
G406	"Grand mal seizures	 unspecified (with or without petit mal)"
G407	"Petit mal	 unspecified	 without grand mal seizures"
G408	"Other epilepsy"
G409	"Epilepsy	 unspecified"
G41	"Status epilepticus"
G410	"Grand mal status epilepticus"
G411	"Petit mal status epilepticus"
G412	"Complex partial status epilepticus"
G418	"Other status epilepticus"
G419	"Status epilepticus	 unspecified"
G43	"Migraine"
G430	"Migraine without aura [common migraine]"
G431	"Migraine with aura [classical migraine]"
G432	"Status migrainosus"
G433	"Complicated migraine"
G438	"Other migraine"
G439	"Migraine	 unspecified"
G44	"Other headache syndromes"
G440	"Cluster headache syndrome"
G441	"Vascular headache	 not elsewhere classified"
G442	"Tension-type headache"
G443	"Chronic post-traumatic headache"
G444	"Drug-induced headache	 not elsewhere classified"
G448	"Other specified headache syndromes"
G45	"Transient cerebral ischaemic attacks and related syndromes"
G450	"Vertebro-basilar artery syndrome"
G451	"Carotid artery syndrome (hemispheric)"
G452	"Multiple and bilateral precerebral artery syndromes"
G453	"Amaurosis fugax"
G454	"Transient global amnesia"
G458	"Other transient cerebral ischaemic attacks and related syndromes"
G459	"Transient cerebral ischaemic attack	 unspecified"
G46	"Vascular syndromes of brain in cerebrovascular diseases"
G460	"Middle cerebral artery syndrome"
G461	"Anterior cerebral artery syndrome"
G462	"Posterior cerebral artery syndrome"
G463	"Brain stem stroke syndrome"
G464	"Cerebellar stroke syndrome"
G465	"Pure motor lacunar syndrome"
G466	"Pure sensory lacunar syndrome"
G467	"Other lacunar syndromes"
G468	"Other vascular syndromes of brain in cerebrovascular diseases"
G47	"Sleep disorders"
G470	"Disorders of initiating and maintaining sleep [insomnias]"
G471	"Disorders of excessive somnolence [hypersomnias]"
G472	"Disorders of the sleep-wake schedule"
G473	"Sleep apnoea"
G474	"Narcolepsy and cataplexy"
G478	"Other sleep disorders"
G479	"Sleep disorder	 unspecified"
G50	"Disorders of trigeminal nerve"
G500	"Trigeminal neuralgia"
G501	"Atypical facial pain"
G508	"Other disorders of trigeminal nerve"
G509	"Disorder of trigeminal nerve	 unspecified"
G51	"Facial nerve disorders"
G510	"Bell palsy"
G511	"Geniculate ganglionitis"
G512	"Melkersson syndrome"
G513	"Clonic hemifacial spasm"
G514	"Facial myokymia"
G518	"Other disorders of facial nerve"
G519	"Disorder of facial nerve	 unspecified"
G52	"Disorders of other cranial nerves"
G520	"Disorders of olfactory nerve"
G521	"Disorders of glossopharyngeal nerve"
G522	"Disorders of vagus nerve"
G523	"Disorders of hypoglossal nerve"
G527	"Disorders of multiple cranial nerves"
G528	"Disorders of other specified cranial nerves"
G529	"Cranial nerve disorder	 unspecified"
G53	"Cranial nerve disorders in diseases classified elsewhere"
G530	"Postzoster neuralgia"
G531	"Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere"
G532	"Multiple cranial nerve palsies in sarcoidosis"
G533	"Multiple cranial nerve palsies in neoplastic disease"
G538	"Other cranial nerve disorders in other diseases classified elsewhere"
G54	"Nerve root and plexus disorders"
G540	"Brachial plexus disorders"
G541	"Lumbosacral plexus disorders"
G542	"Cervical root disorders	 not elsewhere classified"
G543	"Thoracic root disorders	 not elsewhere classified"
G544	"Lumbosacral root disorders	 not elsewhere classified"
G545	"Neuralgic amyotrophy"
G546	"Phantom limb syndrome with pain"
G547	"Phantom limb syndrome without pain"
G548	"Other nerve root and plexus disorders"
G549	"Nerve root and plexus disorder	 unspecified"
G55	"Nerve root and plexus compressions in diseases classified elsewhere"
G550	"Nerve root and plexus compressions in neoplastic disease"
G551	"Nerve root and plexus compressions in intervertebral disc disorders"
G552	"Nerve root and plexus compressions in spondylosis"
G553	"Nerve root and plexus compressions in other dorsopathies"
G558	"Nerve root and plexus compressions in other diseases classified elsewhere"
G56	"Mononeuropathies of upper limb"
G560	"Carpal tunnel syndrome"
G561	"Other lesions of median nerve"
G562	"Lesion of ulnar nerve"
G563	"Lesion of radial nerve"
G564	"Causalgia"
G568	"Other mononeuropathies of upper limb"
G569	"Mononeuropathy of upper limb	 unspecified"
G57	"Mononeuropathies of lower limb"
G570	"Lesion of sciatic nerve"
G571	"Meralgia paraesthetica"
G572	"Lesion of femoral nerve"
G573	"Lesion of lateral popliteal nerve"
G574	"Lesion of medial popliteal nerve"
G575	"Tarsal tunnel syndrome"
G576	"Lesion of plantar nerve"
G578	"Other mononeuropathies of lower limb"
G579	"Mononeuropathy of lower limb	 unspecified"
G58	"Other mononeuropathies"
G580	"Intercostal neuropathy"
G587	"Mononeuritis multiplex"
G588	"Other specified mononeuropathies"
G589	"Mononeuropathy	 unspecified"
G59	"Mononeuropathy in diseases classified elsewhere"
G590	"Diabetic mononeuropathy"
G598	"Other mononeuropathies in diseases classified elsewhere"
G60	"Hereditary and idiopathic neuropathy"
G600	"Hereditary motor and sensory neuropathy"
G601	"Refsum disease"
G602	"Neuropathy in association with hereditary ataxia"
G603	"Idiopathic progressive neuropathy"
G608	"Other hereditary and idiopathic neuropathies"
G609	"Hereditary and idiopathic neuropathy	 unspecified"
G61	"Inflammatory polyneuropathy"
G610	"Guillain-Barr� syndrome"
G611	"Serum neuropathy"
G618	"Other inflammatory polyneuropathies"
G619	"Inflammatory polyneuropathy	 unspecified"
G62	"Other polyneuropathies"
G620	"Drug-induced polyneuropathy"
G621	"Alcoholic polyneuropathy"
G622	"Polyneuropathy due to other toxic agents"
G628	"Other specified polyneuropathies"
G629	"Polyneuropathy	 unspecified"
G63	"Polyneuropathy in diseases classified elsewhere"
G630	"Polyneuropathy in infectious and parasitic diseases classified elsewhere"
G631	"Polyneuropathy in neoplastic disease"
G632	"Diabetic polyneuropathy"
G633	"Polyneuropathy in other endocrine and metabolic diseases"
G634	"Polyneuropathy in nutritional deficiency"
G635	"Polyneuropathy in systemic connective tissue disorders"
G636	"Polyneuropathy in other musculoskeletal disorders"
G638	"Polyneuropathy in other diseases classified elsewhere"
G64	"Other disorders of peripheral nervous system"
G70	"Myasthenia gravis and other myoneural disorders"
G700	"Myasthenia gravis"
G701	"Toxic myoneural disorders"
G702	"Congenital and developmental myasthenia"
G708	"Other specified myoneural disorders"
G709	"Myoneural disorder	 unspecified"
G71	"Primary disorders of muscles"
G710	"Muscular dystrophy"
G711	"Myotonic disorders"
G712	"Congenital myopathies"
G713	"Mitochondrial myopathy	 not elsewhere classified"
G718	"Other primary disorders of muscles"
G719	"Primary disorder of muscle	 unspecified"
G72	"Other myopathies"
G720	"Drug-induced myopathy"
G721	"Alcoholic myopathy"
G722	"Myopathy due to other toxic agents"
G723	"Periodic paralysis"
G724	"Inflammatory myopathy	 not elsewhere classified"
G728	"Other specified myopathies"
G729	"Myopathy	 unspecified"
G73	"Disorders of myoneural junction and muscle in diseases classified elsewhere"
G730	"Myasthenic syndromes in endocrine diseases"
G731	"Lambert-Eaton syndrome"
G732	"Other myasthenic syndromes in neoplastic disease"
G733	"Myasthenic syndromes in other diseases classified elsewhere"
G734	"Myopathy in infectious and parasitic diseases classified elsewhere"
G735	"Myopathy in endocrine diseases"
G736	"Myopathy in metabolic diseases"
G737	"Myopathy in other diseases classified elsewhere"
G80	"Cerebral palsy"
G800	"Spastic quadriplegic cerebral palsy"
G801	"Spastic diplegic cerebral palsy"
G802	"Spastic hemiplegic cerebral palsy"
G803	"Dyskinetic cerebral palsy"
G804	"Ataxic cerebral palsy"
G808	"Other cerebral palsy"
G809	"Cerebral palsy	 unspecified"
G81	"Hemiplegia"
G810	"Flaccid hemiplegia"
G811	"Spastic hemiplegia"
G819	"Hemiplegia	 unspecified"
G82	"Paraplegia and tetraplegia"
G820	"Flaccid paraplegia"
G821	"Spastic paraplegia"
G822	"Paraplegia	 unspecified"
G823	"Flaccid tetraplegia"
G824	"Spastic tetraplegia"
G825	"Tetraplegia	 unspecified"
G83	"Other paralytic syndromes"
G830	"Diplegia of upper limbs"
G831	"Monoplegia of lower limb"
G832	"Monoplegia of upper limb"
G833	"Monoplegia	 unspecified"
G834	"Cauda equina syndrome"
G838	"Other specified paralytic syndromes"
G839	"Paralytic syndrome	 unspecified"
G90	"Disorders of autonomic nervous system"
G900	"Idiopathic peripheral autonomic neuropathy"
G901	"Familial dysautonomia [Riley-Day]"
G902	"Horner syndrome"
G903	"Multi-system degeneration"
G904	"Autonomic dysreflexia"
G908	"Other disorders of autonomic nervous system"
G909	"Disorder of autonomic nervous system	 unspecified"
G91	"Hydrocephalus"
G910	"Communicating hydrocephalus"
G911	"Obstructive hydrocephalus"
G912	"Normal-pressure hydrocephalus"
G913	"Post-traumatic hydrocephalus	 unspecified"
G918	"Other hydrocephalus"
G919	"Hydrocephalus	 unspecified"
G92	"Toxic encephalopathy"
G93	"Other disorders of brain"
G930	"Cerebral cysts"
G931	"Anoxic brain damage	 not elsewhere classified"
G932	"Benign intracranial hypertension"
G933	"Postviral fatigue syndrome"
